x	y
6917	25370
6681	25506
6918	25641
6681	25778
6918	25913
6919	26185
6683	26322
6920	26457
6684	26594
6921	26729
6685	26865
6922	27001
6686	27137
6923	27272
6687	27409
6924	27544
6688	27681
6924	27816
6688	27953
6925	28088
6689	28225
6926	28360
6690	28496
6927	28632
6691	28768
6928	28903
6692	29040
6929	29175
6693	29312
6930	29447
7111	12185
7348	12320
7112	12456
7349	12592
7113	12728
7350	12863
7114	13000
7351	13135
7115	13272
7352	13407
7116	13544
7352	13679
7116	13816
7353	13951
7117	14087
7354	14223
7118	14359
7355	14494
7119	14631
7356	14766
7120	14903
7357	15038
7121	15175
7358	15310
7122	15447
7359	15582
7122	15719
7359	15854
7123	15990
7360	16126
7124	16262
7361	16397
7125	16534
7362	16669
7126	16806
7363	16941
7127	17078
7364	17213
7128	17350
7365	17485
7129	17621
7365	17757
7129	17893
7366	18028
7130	18165
7367	18300
7131	18437
7368	18572
7132	18709
7369	18844
7133	18981
7370	19116
7134	19252
7371	19388
7135	19524
7372	19659
7135	19796
7372	19931
7136	20068
7373	20203
7137	20340
7374	20475
7138	20612
7375	20747
7139	20883
7376	21019
7140	21155
7377	21290
7141	21427
7378	21562
7141	21699
7378	21834
7142	21971
7379	22106
7143	22243
7380	22378
7144	22514
7381	22650
7145	22786
7382	22921
7146	23058
7383	23193
7147	23330
7384	23465
7148	23602
7384	23737
7148	23874
7385	24009
7149	24146
7386	24281
7150	24417
7387	24553
7151	24689
7388	24824
7152	24961
7389	25096
7153	25233
7390	25368
7154	25505
7391	25640
7154	25777
7391	25912
7155	26048
7392	26184
7156	26320
7393	26455
7157	26592
7394	26727
7158	26864
7395	26999
7159	27136
7396	27271
7160	27408
7397	27543
7161	27679
7397	27815
7161	27951
7398	28086
7162	28223
7399	28358
7163	28495
7400	28630
7164	28767
7401	28902
7165	29039
7402	29174
7166	29310
7403	29446
7584	12183
7821	12318
7585	12455
7822	12590
7586	12727
7823	12862
7587	12999
7824	13134
7588	13270
7825	13406
7589	13542
7825	13677
7589	13814
7826	13949
7590	14086
7827	14221
7591	14358
7828	14493
7592	14630
7829	14765
7593	14901
7830	15037
7594	15173
7831	15308
7595	15445
7832	15580
7595	15717
7832	15852
7596	15989
7833	16124
7597	16261
7834	16396
7598	16533
7835	16668
7599	16804
7836	16940
7600	17076
7837	17211
7601	17348
7838	17483
7602	17620
7838	17755
7602	17892
7839	18027
7603	18164
7840	18299
7604	18435
7841	18571
7605	18707
7842	18842
7606	18979
7843	19114
7607	19251
7844	19386
7608	19523
7845	19658
7608	19795
7845	19930
7609	20066
7846	20202
7610	20338
7847	20473
7611	20610
7848	20745
7612	20882
7849	21017
7613	21154
7850	21289
7614	21426
7851	21561
7614	21697
7851	21833
7615	21969
7852	22104
7616	22241
